"7.潜艇强行封锁
　每有一个邻接北海的德国陆军或海军，你获得1分。英国需弃置其摸牌堆顶的2张牌。","8.潜艇主导大西洋海战
　每有一个在版图上的德国海军，你获得1分。英国需弃置其摸牌堆顶的2张牌。","9.潜艇袭击无防备运输船
　英国需弃置其摸牌堆顶的2张牌，若在北海没有同盟国海军则为3张。你获得1分。"
"10.潜艇袭击摩尔曼斯克运输船队
　每有一个在北欧或邻接北欧的德国陆军或海军，你获得1分。苏联需弃置其摸牌堆顶的2张牌。","11.V2飞弹
　若在西欧有德国陆军，你获得3分。英国需弃置其摸牌堆顶的1张牌。","12.季风潜艇狼群
　你选择的一个同盟国需弃置其摸牌堆顶的2张牌。你获得2分。"
"13.巴巴罗萨
　在你回合开始时，对与德国陆军邻接的苏联陆军占领区发动至多三次陆战。","14.强制征兵
　在德国或邻接德国的地区召集一至两个陆军。","15.大炮和黄油
　此卡牌可当做【设立陆军】，【设立海军】，【陆战】，【海战】的一种使用。"
"16.巴尔干半岛军事独裁
　在巴尔干半岛召集一个意大利陆军，移除一个在乌克兰的同盟国陆军。","17.掠夺
　每有一个在德国之外的德国陆军和海军，你获得1分。","18.高速公路
　你可收回版图上的所有德国陆军，然后重新依次设立这些陆军。"
"30.丰富的资源
　在你的得分阶段，每有一个在乌克兰或中亚或白俄罗斯的德国陆军，你获得1分。","31.大西洋防线
　每回合限一次。当轴心国的陆军在西欧被攻击时使用。发动陆战的国家需弃置其摸牌堆顶的3张牌。","32.行动指向
　每回合限一次。当你设立陆军时使用。你可弃置摸牌堆顶的1张牌，在设立陆军的一个邻接地区发动陆战。"
"33.闪电战
　每回合限一次。当你发动陆战时使用。你可弃置摸牌堆顶的1张牌，在陆战的地区设立陆军。","34.征兵
　在你的出牌阶段，你可弃置摸牌堆顶的2张牌，设立一个陆军，来代替出牌。","35.俯冲式轰炸机
　每回合限一次。当你发动陆战时使用。你可弃置摸牌堆顶的1张牌，在陆战的地区或邻接陆战的一个地区发动陆战。"
"36.喷气式战斗机
　当你成为经济战卡牌的目标时，你需弃置的卡牌数减3，最低为0。","37.精确计划
　每回合限一次。在你的回合开始时使用。你可观看摸牌堆顶的4张牌，将其以任意顺序返回牌堆顶。","38.瑞典铁矿石
　在你的得分阶段，若在波罗的海有德国海军你获得1分。若在北欧有德国陆军，你获得1分。"
"39.合成燃料
　每回合限一次。当你设立陆军时使用。你可弃置摸牌堆顶的2张牌，在设立陆军的邻接地区设立一个陆军。","40.国民突击队
　每回合限一次。在你的回合开始时使用。你可弃置摸牌堆顶的1张牌，在德国召集陆军。此行动不计入出牌阶段的行动。","41.群狼战术
　带有【潜艇】字样的经济战卡牌，可使同盟国追加弃置2张牌，若在北欧有德国陆军则为3张。"
"46.第十驱逐舰舰队
　英国需弃置其摸牌堆顶的1张牌，若在地中海没有同盟国的海军，需再弃置1张。你获得1分。","47.意大利皇家海军封锁海路
　每有一个在版图上的意大利海军，你获得1分。英国需弃置其摸牌堆顶的1张牌。","48.德国北非军团
　在北非召集德国陆军，在地中海召集德国海军。"
"49.西班牙蓝色师团
　从桌面弃置一个苏联的一张应对卡。此卡的内容不公开。","50.德国出兵希腊
　移除在巴尔干半岛的一个同盟国陆军。在巴尔干半岛召集德国陆军。","51.意属东非
　在北非设立陆军，在孟加拉湾设立海军。"
"52.攻击共产主义者
　在乌克兰设立陆军，在白俄罗斯设立陆军。","53.掠夺
　每有一个在意大利之外的意大利陆军和海军，你获得1分。","61.德国的反攻增援
　当处于补给状态的意大利陆军被移除后时使用。在该地区召集德国陆军。"
"62.卡西诺山要塞
　当在意大利的轴心国陆军将被移除时使用。本回合这个陆军不会被移除。","63.罗马尼亚增援
　当处于补给状态的德国陆军被移除后时使用。在该地区召集意大利陆军。","64.精英飞行员
　当你成为经济战卡牌的目标时，你需弃置的卡牌数减5，最低为0。"
"67.反共产主义情感
　在你的得分阶段，每有一个在白俄罗斯或乌克兰的意大利陆军获得1分。","68.巴尔干半岛资源
　在你的得分阶段，若在巴尔干半岛有意大利陆军，你获得1分。","69.弱势
　在你的出牌阶段，你可弃置2张摸牌堆顶的牌，发动一次陆战，来代替出牌。"
"70.意大利殖民地帝国
　在你的得分阶段，每有一个在北非或非洲或中东的轴心国陆军，你获得1分。","71.海之王
　在你的得分阶段，每有一个在版图上的意大利海军，你获得1分。","76.印度洋警备队
　每有一个在孟加拉湾或邻接孟加拉湾的日本海军，你获得2分。英国需弃置其摸牌堆顶的2张牌。"
"77.潜艇支援太平洋诸岛
　每有一个在东太平洋或邻接东太平洋的日本海军，你获得2分，美国需弃置其摸牌堆顶的2张牌。","87.万岁冲锋
　当你发动陆战时使用。在战斗的地区或邻接地区发动陆战。","88.战舰修理
　当你处于补给状态的海军将被移除时使用。本回合这个海军不会被移除。"
"89.侵略中国
　当你在中国东部或邻接中国东部的地区发动陆战时使用。在陆战地区设立陆军。在中国东部或邻接中国东部的地区发动陆战。","90.驱逐舰运输
　当你发动海战时使用。邻接战斗地区设立一至两个陆军。","91.攻陷新加坡
　当你在东南亚发动陆战时使用。在南海发动海战，在东南亚召集陆军。"
"92.神风特攻队
　当同盟国邻接日本部队设立海军时使用。立刻移除其设立的海军。","93.关东军
　在中国东部或四川或东北或蒙古处于补给状态的日本陆军将被移除时使用。本回合这个陆军不会被移除。","94.机动部队
　在你的回合开始时使用。在北太平洋或邻接北太平洋的地区召集一个海军。"
"95.特种陆战队
　当你设立海军时使用。在你设立海军的邻接地区，你可设立一至两个陆军。","96.奇袭
　当你发动海战时使用。发动一次海战，再发动一次陆战。","97.丘克群岛
　在你回合的任意时机使用。在太平洋中部或邻接太平洋中部的日本部队，在此回合中处于获得补给状态。"
"102.前进基地
　在你的得分阶段，若在夏威夷或太平洋西北部或新西兰有日本陆军，你获得2分。","103.大东亚共荣圈
　在你的得分阶段，每有一个在印度尼西亚，新几内亚，东南亚的日本陆军，你获得1分。","104.帝国的意图
　在你的得分阶段，若在硫磺岛或菲律宾有日本陆军，你获得1分。"
"105.商船安全运输
　在你的得分阶段，若在夏威夷没有同盟国的陆军，你获得1分。","114.冬季攻势
　移除一至两个在莫斯科或邻接莫斯科的轴心国陆军。","115.苏德友好条约
　在白俄罗斯，东欧召集陆军。"
"116.毛泽东
　移除一个在中国东部或四川的轴心国陆军。","117.铁托主义革命战争
　移除一个在巴尔干半岛的轴心国陆军，在巴尔干半岛召集一个苏联或英国陆军。","118.西伯利亚铁路
　你可收回版图上的所有苏联陆军，然后重新依次设立这些陆军。"
"119.华西列夫斯基出兵东北
　在东北召集陆军。在中国东部发动陆战。","127.保卫祖国
　在你的回合开始时使用。在莫斯科或邻接莫斯科的地区召集一个陆军。移除在莫斯科的一个轴心国陆军。","128.列宁格勒保卫战
　当你在白俄罗斯的陆军将被移除时使用。本回合这个陆军不会被移除。"
"129.莫斯科保卫战
　当你在莫斯科的陆军将被移除时使用。本回合这个陆军不会被移除。","130.泥沼之海
　当轴心国在莫斯科或邻接莫斯科设立陆军时使用。立刻移除其设立的陆军。","131.斯大林格勒保卫战
　当你在乌克兰的陆军将被移除时使用。本回合中，这个陆军不会被移除。"
"134.正面攻击
　每回合限一次。你发动陆战时，若你弃置2张手牌，你可在相同的地区，或邻接的一个地区发动陆战。","135.近卫军
　在你的出牌阶段，你可弃置2张手牌，使用1张弃牌堆中的【设立陆军】，来代替出牌。","136.焦土作战
　乌克兰不会为轴心国提供补给。"
"137.什维尔尼克疏散委员会
　苏联陆军不会陷入无补给状态。但陆军依然只能设立在首都或邻接于其他苏联部队的地区。","138.喀秋莎
　每回合限一次。你发动陆战时，若你弃置1张手牌，你可在相同的地区发动陆战。","139.女兵
　在你的出牌阶段使用【设立陆军】时。在弃置【设立陆军】时，你可将其置于摸牌堆顶。"
"145.轰炸机军团
　你可选择德国或意大利，其需弃置摸牌堆顶的4张牌。","146.马耳他的潜艇舰队
　德国和意大利各自弃置其摸牌堆顶的2张牌，或移除其在地中海的海军。","147.荷属东印度
　在印度尼西亚召集陆军，在新几内亚召集陆军，在南海召集海军。"
"148.斯马茨将军强化对英关系
　在非洲召集陆军，在南极海或孟加拉湾召集海军。","149.增加英联邦的支持
　在印度或澳大利亚或加拿大召集英国陆军。","150.佩塔尔二世在南斯拉夫即位
　移除在巴尔干半岛的一个轴心国陆军。在巴尔干半岛召集陆军。"
